"filename", "language", "Properties", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "Prisma", "HTML", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\download-4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\download-5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\graduation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\lightwave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\pinkmount.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\image\wave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\icons\terrappin.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\''.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
